product_id,product_name,category,unit_price
1000,Wireless Earbuds,Electronics,202.91
1001,Bluetooth Speaker,Electronics,52.59
1002,Smart Watch,Electronics,420.41
1003,USB-C Hub,Electronics,230.17
1004,Noise-Cancelling Headphones,Electronics,241.63
1005,Portable Charger,Electronics,313.58
1006,Webcam HD,Electronics,169.69
1007,Wireless Mouse,Electronics,41.33
1008,Mechanical Keyboard,Electronics,284.69
1009,Tablet Stand,Electronics,309.0
1010,Smart Plug,Electronics,209.62
1011,LED Desk Lamp,Electronics,91.94
1012,Phone Charging Dock,Electronics,27.62
1013,HDMI Cable,Electronics,195.27
1014,Wireless Router,Electronics,172.72
1015,Action Camera,Electronics,81.81
1016,Power Strip,Electronics,273.3
1017,Laptop Sleeve,Electronics,174.32
1018,Stainless Steel Knife Set,Home & Kitchen,20.78
1019,Non-Stick Frying Pan,Home & Kitchen,132.0
1020,Electric Kettle,Home & Kitchen,135.45
1021,Glass Food Containers,Home & Kitchen,130.5
1022,Ceramic Mug Set,Home & Kitchen,57.27
1023,Cutting Board Set,Home & Kitchen,146.05
1024,Air Fryer,Home & Kitchen,15.16
1025,Coffee Maker,Home & Kitchen,43.54
1026,Blender,Home & Kitchen,116.63
1027,Dish Rack,Home & Kitchen,85.01
1028,Spice Rack,Home & Kitchen,92.73
1029,Bamboo Utensil Set,Home & Kitchen,34.41
1030,Storage Bins,Home & Kitchen,25.89
1031,Throw Pillow Set,Home & Kitchen,87.73
1032,Bath Towel Set,Home & Kitchen,98.63
1033,Shower Curtain,Home & Kitchen,119.18
1034,Wall Clock,Home & Kitchen,11.29
1035,Picture Frame Set,Home & Kitchen,106.87
1036,Laundry Basket,Home & Kitchen,114.51
1037,Vacuum Sealer,Home & Kitchen,61.48
1038,Toaster Oven,Home & Kitchen,98.36
1039,Cookware Set,Home & Kitchen,111.14
1040,Cotton T-Shirt,Apparel,83.02
1041,Slim Fit Jeans,Apparel,87.02
1042,Wool Sweater,Apparel,21.9
1043,Running Shorts,Apparel,58.43
1044,Hooded Sweatshirt,Apparel,65.16
1045,Denim Jacket,Apparel,79.1
1046,Athletic Leggings,Apparel,65.56
1047,Polo Shirt,Apparel,55.42
1048,Winter Parka,Apparel,10.5
1049,Flannel Shirt,Apparel,71.14
1050,Yoga Pants,Apparel,52.33
1051,Crew Socks (3-Pack),Apparel,73.21
1052,Baseball Cap,Apparel,76.55
1053,Canvas Belt,Apparel,53.04
1054,Knit Beanie,Apparel,53.46
1055,Rain Jacket,Apparel,9.18
1056,Linen Button-Down,Apparel,46.88
1057,Cargo Pants,Apparel,40.68
1058,Graphic Tee,Apparel,49.26
1059,Fleece Vest,Apparel,10.17
1060,Maxi Dress,Apparel,45.58
1061,Chino Shorts,Apparel,24.05
1062,Wool Scarf,Apparel,13.84
1063,Compression Shirt,Apparel,17.69
1064,Swim Trunks,Apparel,31.13
1065,Yoga Mat,Sports & Outdoors,157.52
1066,Adjustable Dumbbell Set,Sports & Outdoors,153.36
1067,Camping Tent,Sports & Outdoors,180.15
1068,Hiking Backpack,Sports & Outdoors,190.51
1069,Resistance Bands Set,Sports & Outdoors,72.45
1070,Water Bottle,Sports & Outdoors,103.94
1071,Foam Roller,Sports & Outdoors,32.24
1072,Sleeping Bag,Sports & Outdoors,143.18
1073,Bike Helmet,Sports & Outdoors,197.46
1074,Jump Rope,Sports & Outdoors,153.14
1075,Trekking Poles,Sports & Outdoors,182.21
1076,Cooler Bag,Sports & Outdoors,32.58
1077,Tennis Racket,Sports & Outdoors,81.23
1078,Soccer Ball,Sports & Outdoors,194.28
1079,Fishing Rod,Sports & Outdoors,115.23
1080,Camping Chair,Sports & Outdoors,129.24
1081,Headlamp,Sports & Outdoors,179.15
1082,Pull-Up Bar,Sports & Outdoors,77.14
1083,Electric Toothbrush,Beauty & Personal Care,22.02
1084,Hair Dryer,Beauty & Personal Care,57.24
1085,Facial Cleanser,Beauty & Personal Care,7.49
1086,Moisturizer Cream,Beauty & Personal Care,37.68
1087,Sunscreen SPF 50,Beauty & Personal Care,27.82
1088,Shampoo & Conditioner Set,Beauty & Personal Care,59.82
1089,Lip Balm Set,Beauty & Personal Care,29.78
1090,Makeup Brush Set,Beauty & Personal Care,39.0
1091,Nail Care Kit,Beauty & Personal Care,33.61
1092,Electric Shaver,Beauty & Personal Care,12.37
1093,Body Lotion,Beauty & Personal Care,12.5
1094,Hair Straightener,Beauty & Personal Care,54.73
1095,Beard Trimmer,Beauty & Personal Care,52.43
1096,Face Mask Set,Beauty & Personal Care,30.25
1097,Perfume,Beauty & Personal Care,9.17
1098,Cotton Rounds,Beauty & Personal Care,15.0
1099,Vitamin C Serum,Beauty & Personal Care,15.58
1100,Ballpoint Pen Set,Office Supplies,38.48
1101,Spiral Notebook,Office Supplies,64.55
1102,Desk Organizer,Office Supplies,24.32
1103,Sticky Notes Pack,Office Supplies,40.31
1104,Stapler,Office Supplies,22.44
1105,Highlighter Set,Office Supplies,37.45
1106,Printer Paper Ream,Office Supplies,27.8
1107,File Folders (Pack),Office Supplies,55.29
1108,Whiteboard,Office Supplies,60.4
1109,Label Maker,Office Supplies,46.95
1110,Calculator,Office Supplies,14.77
1111,Binder Clips,Office Supplies,72.05
1112,Desk Mat,Office Supplies,33.63
1113,Ring Binder,Office Supplies,54.49
1114,Sticky Tabs,Office Supplies,17.4
1115,Pencil Case,Office Supplies,50.02
1116,Push Pins,Office Supplies,6.99
1117,Laminating Sheets,Office Supplies,65.36
1118,Index Cards,Office Supplies,34.71
1119,Wall Calendar,Office Supplies,59.28
